1st Order Form Execution Date,1st Order Form Execution Date (Start Date),Abbreviated Name,Account Manager,Account Manager EMAIL Address,Account Manager Phone Number,Address Line 1,Address Line 1 (e.g. 123 ABC St.),Address Line 2,Address Line 2 (e.g. Apt 202),Billing Address 1,Billing Address 2,Billing City,Billing Contact,Billing Country,Billing Email,Billing First Name,Billing Last Name,Billing Notes,Billing Phone,Billing State,Billing Title,Billing Zip Code,City,Committment Amount,Company,Company Category,Company Description,Company Name,Company Name/DBA,Company Status,Cost Structure,Country,Customer End Category,Customer End Date,Customer Start Date,Description,Dynamic Template,EIN Number,First Order Form Execution Date (Start Date),First Placement Onboard Date,House Account,Industry,Investor,Investor Category,Investor Code,Investor Credit Amount,Investor Credit Remaining Amount,Investor Round,Investor Status,Investor Type,Late Fee Applies,Late Fee Rate (%),Lead Source,Legal Address 1,Legal Address 2,Legal Name,LinkedIn,Mailing Address 1,Mailing Address 2,NAICS Code,No Credit Investor,Non-Taxable,Payment Terms,Phone Manager,Phone Number,Phone Number (e.g. 123-456-7890 Ext 000),Preferred Payment Method,Public/Private,Referral Code,Referral Fee Amount,Referral Partner Category,Related Investor,Sales Representative,Special Contract Terms,State,Status,Stock Ticker,Sub-Industry,Support Email Address,Support Phone Number,Tax ID,Termination Notification Date,Termination Notification Date (End Date),Website,Zip Code,Entity_Type_ID,Entity_Type_Name,Entity_ID,Owned_by_SAM,Owned_by_Display_Name,Own_Datetime,Created_by_SAM,Created_by_Display_Name,Created_Datetime,Modified_by_Sam,Modified_by_Display_Name,Modified_Datetime,Assigned_to_Sam,Assigned_to_Display_Name,Assign_Datetime,Is_Active,CITY_EXD_OBJECT_ID,COMPANY_CATEGORY_EXD_OBJECT_ID,COUNTRY_EXD_OBJECT_ID,INDUSTRY_EXD_OBJECT_ID,STATE_EXD_OBJECT_ID,BILLING_CONTACT_EXD_OBJECT_ID,DYNAMIC_TEMPLATE_EXD_OBJECT_ID,COMPANY_EXD_OBJECT_ID,INVESTOR_CATEGORY_EXD_OBJECT_ID,INVESTOR_EXD_OBJECT_ID,INVESTOR_TYPE_EXD_OBJECT_ID,LEAD_SOURCE_EXD_OBJECT_ID,RELATED_INVESTOR_EXD_OBJECT_ID,SALES_REPRESENTATIVE_EXD_OBJECT_ID,SUB-INDUSTRY_EXD_OBJECT_ID,REFERRAL_CODE_EXD_OBJECT_ID,CUSTOMER_END_CATEGORY_EXD_OBJECT_ID,Own_Datetime Date,Own_Datetime Year,Own_Datetime Month,Own_Datetime Quarter,Own_Datetime YearMonth,Own_Datetime YearQuarter,Own_Datetime DateRange,Own_Datetime WeekNumber,Own_Datetime Week,Own_Datetime MonthSince,Own_Datetime WeekSince,Own_Datetime DaySince,Own_Datetime MonthsSinceCat,Modified_Datetime Date,Modified_Datetime Year,Modified_Datetime Month,Modified_Datetime Quarter,Modified_Datetime YearMonth,Modified_Datetime YearQuarter,Modified_Datetime DateRange,Modified_Datetime WeekNumber,Modified_Datetime Week,Modified_Datetime MonthSince,Modified_Datetime WeekSince,Modified_Datetime DaySince,Modified_Datetime MonthsSinceCat,Assign_Datetime Date,Assign_Datetime Year,Assign_Datetime Month,Assign_Datetime Quarter,Assign_Datetime YearMonth,Assign_Datetime YearQuarter,Assign_Datetime DateRange,Assign_Datetime WeekNumber,Assign_Datetime Week,Assign_Datetime MonthSince,Assign_Datetime WeekSince,Assign_Datetime DaySince,Assign_Datetime MonthsSinceCat,1ST_ORDER_FORM_EXECUTION_DATE Date,1ST_ORDER_FORM_EXECUTION_DATE Year,1ST_ORDER_FORM_EXECUTION_DATE Month,1ST_ORDER_FORM_EXECUTION_DATE Quarter,1ST_ORDER_FORM_EXECUTION_DATE YearMonth,1ST_ORDER_FORM_EXECUTION_DATE YearQuarter,1ST_ORDER_FORM_EXECUTION_DATE DateRange,1ST_ORDER_FORM_EXECUTION_DATE WeekNumber,1ST_ORDER_FORM_EXECUTION_DATE Week,1ST_ORDER_FORM_EXECUTION_DATE MonthSince,1ST_ORDER_FORM_EXECUTION_DATE WeekSince,1ST_ORDER_FORM_EXECUTION_DATE DaySince,1ST_ORDER_FORM_EXECUTION_DATE MonthsSinceCat,CUSTOMER_END_DATE Date,CUSTOMER_END_DATE Year,CUSTOMER_END_DATE Month,CUSTOMER_END_DATE Quarter,CUSTOMER_END_DATE YearMonth,CUSTOMER_END_DATE YearQuarter,CUSTOMER_END_DATE DateRange,CUSTOMER_END_DATE WeekNumber,CUSTOMER_END_DATE Week,CUSTOMER_END_DATE MonthSince,CUSTOMER_END_DATE WeekSince,CUSTOMER_END_DATE DaySince,CUSTOMER_END_DATE MonthsSinceCat,CUSTOMER_START_DATE Date,CUSTOMER_START_DATE Year,CUSTOMER_START_DATE Month,CUSTOMER_START_DATE Quarter,CUSTOMER_START_DATE YearMonth,CUSTOMER_START_DATE YearQuarter,CUSTOMER_START_DATE DateRange,CUSTOMER_START_DATE WeekNumber,CUSTOMER_START_DATE Week,CUSTOMER_START_DATE MonthSince,CUSTOMER_START_DATE WeekSince,CUSTOMER_START_DATE DaySince,CUSTOMER_START_DATE MonthsSinceCat,FIRST_PLACEMENT_ONBOARD_DATE Date,FIRST_PLACEMENT_ONBOARD_DATE Year,FIRST_PLACEMENT_ONBOARD_DATE Month,FIRST_PLACEMENT_ONBOARD_DATE Quarter,FIRST_PLACEMENT_ONBOARD_DATE YearMonth,FIRST_PLACEMENT_ONBOARD_DATE YearQuarter,FIRST_PLACEMENT_ONBOARD_DATE DateRange,FIRST_PLACEMENT_ONBOARD_DATE WeekNumber,FIRST_PLACEMENT_ONBOARD_DATE Week,FIRST_PLACEMENT_ONBOARD_DATE MonthSince,FIRST_PLACEMENT_ONBOARD_DATE WeekSince,FIRST_PLACEMENT_ONBOARD_DATE DaySince,FIRST_PLACEMENT_ONBOARD_DATE MonthsSinceCat,TERMINATION_NOTIFICATION_DATE Date,TERMINATION_NOTIFICATION_DATE Year,TERMINATION_NOTIFICATION_DATE Month,TERMINATION_NOTIFICATION_DATE Quarter,TERMINATION_NOTIFICATION_DATE YearMonth,TERMINATION_NOTIFICATION_DATE YearQuarter,TERMINATION_NOTIFICATION_DATE DateRange,TERMINATION_NOTIFICATION_DATE WeekNumber,TERMINATION_NOTIFICATION_DATE Week,TERMINATION_NOTIFICATION_DATE MonthSince,TERMINATION_NOTIFICATION_DATE WeekSince,TERMINATION_NOTIFICATION_DATE DaySince,TERMINATION_NOTIFICATION_DATE MonthsSinceCat,ENTITY_URL
,LOT-3311,Marco Haddad,Liam Rossi,,,SKU-6043,REF-7948,,,REF-2875,,,,,omar.mercer@demomail.test,,,,,TAG-2298,,"47,253",SKU-5312,"49,538",,Referral Partner,Noted a concern to revisit at the next sync.,Brightpath Robotics Co,Cobalt Robotics,Active,Beta,Canada,,,SKU-5729,Reviewed performance and gathered feedback.,Renewal,,,,Y,Manufacturing,,,,,,,,,,,Partner,,SKU-6610,Omar Mensah,REF-3098,SKU-2533,,8614,,,Standard,,SKU-9201,TAG-8406,,,,,Standard,,Diego Mensah,,Florida,Y,REF-4819,,,,,,,LOT-8891,,100001,Company,100412,fatima.dorsey@acme-fake.test,Arjun Patel,2022-10-07 04:30:00,diego.ivanov@demomail.test,Priya Dorsey,2026-06-26 06:19:00,noah.dorsey@acme-fake.test,Diego Haddad,2023-04-28 23:14:00,yara.brooks@examplecorp.test,Mei Dorsey,2024-01-12 13:58:00,N,100001,100001,100001,100001,,,100001,100001,100001,,100001,100001,,100001,100001,,100001,2023-07-11 10:12:00,1598,9399,Standard,Beta,Beta,SKU-7433,8,8980,5581,1444,6718,Gamma,2024-10-31 00:27:00,5675,8738,Delta,Gamma,Alpha,Alpha,6181,2565,8574,9031,8368,Standard,2023-08-12 02:11:00,,,,LOT-3922,,,1571,4091,5965,,,,2024-12-20,,1440,,LOT-7990,Other,,9035,8654,9121,,,,2024-07-12,,,Delta,,SKU-8110,SKU-5191,,,,,,,2023-11-18,,6031,,,,,,9005,,1439,,,2025-02-06,,,,,,,,,,,,,2024-07-29,,,,,,LOT-6726,,5882,,,2532,,Resolved the outstanding question about scope.
,,Elena Mercer,Arjun Calder,,,TAG-7811,REF-1685,,,,,,,,priya.sloan@acme-fake.test,,,,,,,,SKU-5641,,,Active Customer,Aligned on billing and renewal terms.,Redwood Networks,Harbor Group LLC,Active,Gamma,India,,,,Resolved the outstanding question about scope.,Standard,,SKU-6852,,N,Hospitality,,,,"165,573",,,,,,,Partner,LOT-7347,,Elena Cohen,LOT-3879,SKU-4022,TAG-6622,4863,,,Standard,,,REF-4424,,Standard,,,,,Liam Garcia,,Arizona,N,,REF-1820,,,,,,LOT-6150,5488,100001,Company,100414,rahul.haddad@sampleco.test,Omar Kim,2023-03-11 11:34:00,chen.mercer@examplecorp.test,Nina Ford,2025-06-23 02:46:00,jamie.whitfield@acme-fake.test,Arjun Reyes,2022-11-04 00:35:00,diego.silva@demomail.test,,2025-08-27 16:15:00,N,100001,100001,,100001,,,100001,100001,,,100001,100001,100001,100001,100001,,100001,2025-10-15 16:07:00,160,2809,Gamma,Beta,Alpha,REF-7446,6217,2224,4539,2007,2969,Standard,2025-06-21 20:14:00,3709,3016,Other,Other,Standard,Delta,3670,5401,8738,2848,9193,Alpha,2024-05-01 08:06:00,3277,,,SKU-7087,,SKU-7396,,,,,,,2025-02-14,2490,,,,,,1018,,,,2530,,2024-05-15,,,,,,TAG-9605,,,,,,,2023-11-04,,,,,,,,,,,,,2024-09-23,,,,REF-2940,,,,,,,,,2026-07-17,,,,,,,,,,,,,Shared the updated proposal for review.
REF-3939,,Jamie Sloan,Mei Calder,,,,REF-6961,TAG-3361,TAG-8250,,,,LOT-8058,,yara.ivanov@sampleco.test,,Omar Ford,,,,Riley Blake,,SKU-8560,,,Active Customer,Scheduled a check-in for the coming month.,Horizon Logistics LLP,Beacon Systems Group,Active,Beta,United Kingdom,,,,Shared the updated proposal for review.,New Logo,,TAG-8284,,Y,Hospitality,,,,,,,,,,,LinkedIn,REF-8014,,Rowan Cohen,LOT-3802,SKU-3691,,,,,Beta,,REF-1174,,,Beta,,,,,Sofia Okafor,Shared the updated proposal for review.,Texas,Y,,TAG-3858,,,,REF-2413,,REF-6907,8434,100001,Company,100415,priya.sato@demomail.test,Yara Sloan,2023-03-17 18:12:00,diego.brooks@sampleco.test,Liam Nguyen,2025-07-16 15:35:00,taylor.whitfield@acme-fake.test,Yara Sato,2023-01-06 23:51:00,riley.kim@acme-fake.test,,2023-02-19 22:13:00,N,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,100001,,100001,100001,100001,100001,2023-08-23 06:24:00,9479,2085,Alpha,Gamma,Gamma,REF-3793,1564,9982,7137,9129,4084,Standard,2026-03-17 08:11:00,35,8009,Standard,Alpha,Other,Standard,5634,3474,3563,3970,7819,Alpha,2022-12-11 20:55:00,,,,,Delta,REF-9082,,,7672,,,,2024-06-25,,,,,,,,,,,,Alpha,2023-03-25,,,,,,,7426,,,,,,2024-02-26,,,,,,TAG-1407,,8273,,5484,,,2026-06-28,,,,,,,,5767,,9948,,Delta,2026-05-01,,5631,,,SKU-2784,,4499,,,,,Alpha,Noted a concern to revisit at the next sync.
LOT-4571,LOT-4115,Chen Ashby,Taylor Costa,,,LOT-3524,LOT-7219,,REF-8570,,,,,Gamma,jamie.silva@demomail.test,,,,,,,,REF-5847,,,Active Customer,Aligned on billing and renewal terms.,Blue Ridge Ventures Co,Atlas Analytics LLP,Active,Beta,India,,SKU-1112,,Discussed timeline and next steps with the account.,Standard,,,,N,Hospitality,,,,,,,,,,,Event,,,Riley Ivanov,LOT-5655,,LOT-7148,3296,,,Gamma,,TAG-2227,SKU-8698,,,,,,,Arjun Dorsey,,Arizona,N,,TAG-5085,,,,REF-3022,,REF-6442,7565,100001,Company,100418,chen.brooks@examplecorp.test,Avery Blake,2025-02-20 06:16:00,chen.sato@examplecorp.test,Emerson Blake,2024-09-05 13:18:00,aisha.ashby@examplecorp.test,Diego Costa,2025-01-27 05:44:00,arjun.silva@examplecorp.test,Elena Ford,2024-01-23 04:23:00,Y,,100001,100001,100001,100001,,100001,100001,,100001,100001,,100001,100001,100001,100001,100001,2026-06-22 14:56:00,1056,5700,Other,Beta,Standard,REF-5329,4035,171,9639,4394,2838,Beta,2026-01-28 17:22:00,9331,3432,Other,Gamma,Other,Gamma,4608,415,4685,1743,5022,Other,2024-01-30 09:11:00,1065,,,TAG-3480,,,,,,4671,,Delta,2024-08-25,,,,,,,,,,,,,2024-10-31,,,Beta,,,,7045,,,,,,2024-01-19,4332,,,,,,,7938,,,,,2024-11-01,852,4720,,REF-4301,,TAG-9167,,358,,,,,2025-10-31,5801,,,TAG-4835,,,,815,,,3089,,Scheduled a check-in for the coming month.
,TAG-7362,Jordan Ashby,Jordan Haddad,,,REF-6871,TAG-5147,,,,,,LOT-4734,,skyler.vance@examplecorp.test,Elena Nguyen,Reese Rossi,,,TAG-8818,,,REF-2834,,,Active Customer,Aligned on billing and renewal terms.,Harbor Ventures Inc,Brightpath Media Ltd,Active,,United Kingdom,,,LOT-7771,Shared the updated proposal for review.,Standard,,REF-3630,,Y,Hospitality,,Alpha,,,,,,,,,Inbound Call,LOT-1643,,Casey Nguyen,,REF-7975,,,,,Alpha,,REF-8921,REF-7312,,Delta,,,,,Noah Mensah,,Colorado,N,,REF-3396,,,,,,LOT-4794,667,100001,Company,100420,jordan.mercer@acme-fake.test,Arjun Calder,2026-04-13 05:18:00,mei.dorsey@sampleco.test,Arjun Costa,2025-05-12 06:58:00,morgan.mensah@examplecorp.test,Fatima Reyes,2026-04-23 06:26:00,taylor.nguyen@demomail.test,,2025-11-10 23:31:00,N,100001,100001,100001,100001,100001,,100001,100001,100001,,,100001,100001,100001,100001,100001,100001,2026-05-06 18:03:00,264,2889,Alpha,Standard,Beta,REF-8208,9272,1646,7718,2155,3858,Delta,2024-09-12 03:12:00,7928,7286,Delta,Other,Delta,Delta,8894,1572,9584,2570,2995,Delta,2026-07-02 18:55:00,727,,,,,,,,,,1951,,2023-12-08,,2713,,,Beta,,,,6520,,,,2025-01-02,,,,,LOT-2097,,,,,,,,2025-11-03,,,,LOT-8671,,,,,,,,Delta,2023-03-04,,783,Gamma,,,LOT-7205,,,,,,Other,2025-05-15,,,,,,SKU-5219,,,,,,,Discussed timeline and next steps with the account.
REF-5581,LOT-2052,Chen Garcia,Diego Whitfield,,,REF-2210,REF-9826,LOT-2399,,,,,SKU-5944,,quinn.cohen@acme-fake.test,,,,,,,,TAG-7718,,,Past Customer,Discussed timeline and next steps with the account.,Falcon Group Inc,Blue Ridge Analytics,Active,,India,,,,Scheduled a check-in for the coming month.,Enterprise,,,,N,Logistics,,,,,,,,,,,Event,REF-7998,SKU-6724,Yara Okafor,SKU-4619,REF-2183,,3737,,,Beta,,,SKU-5979,,Other,,,,,Quinn Blake,,Illinois,Y,,TAG-1241,,,,,,SKU-1466,6803,100001,Company,100421,chen.nguyen@sampleco.test,Jordan Whitfield,2023-11-08 01:40:00,reese.okafor@acme-fake.test,Priya Ivanov,2023-12-18 06:44:00,skyler.nguyen@examplecorp.test,Yara Brooks,2024-01-08 08:47:00,aisha.dorsey@sampleco.test,,2024-10-09 09:04:00,N,100001,100001,100001,100001,100001,,100001,100001,100001,,100001,100001,,100001,100001,100001,100001,2023-09-28 02:09:00,3892,4781,Other,Alpha,Alpha,REF-8659,9951,739,2131,6305,9327,Alpha,2023-02-18 12:30:00,9097,7927,Beta,Beta,Alpha,Gamma,9836,7102,8781,4641,5429,Beta,2024-06-17 12:06:00,7396,,,,,TAG-4515,,,,,,,2025-05-29,197,8729,,,,,,1779,,,,,2024-11-11,,,,,,,,9224,,,,,2024-09-02,,,,,,,,,,,,,2025-07-25,,,,TAG-2953,,,,,,,,,2024-12-19,,,Standard,TAG-9043,,,2397,,,,,Delta,Aligned on billing and renewal terms.
,,Chen Silva,Arjun Patel,,,,LOT-3883,,,,,REF-8863,,,casey.patel@demomail.test,,Marco Cohen,,,TAG-4397,,,SKU-6156,,,Active Customer,Shared the updated proposal for review.,Falcon Industries LLP,Keystone Health Ltd,Active,Other,India,,SKU-3052,,Reviewed performance and gathered feedback.,New Logo,,,,N,Professional Services,,,,"174,591",,,,,,,Event,,REF-1173,Aisha Nguyen,TAG-7714,REF-3379,LOT-3907,9483,,,,,SKU-2150,TAG-4778,,Beta,,,,,Omar Blake,,Ohio,Y,,TAG-9767,,,,,SKU-3969,REF-9325,8539,100001,Company,100423,yara.mercer@examplecorp.test,Diego Rossi,2025-03-07 18:39:00,riley.ford@examplecorp.test,Marco Whitfield,2024-08-14 00:55:00,aisha.blake@acme-fake.test,Skyler Blake,2024-01-10 14:53:00,alex.silva@acme-fake.test,,2024-10-30 23:47:00,Y,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,,100001,,,100001,2023-05-02 22:27:00,5504,991,Other,Gamma,Standard,REF-2716,1120,7137,9824,2705,2072,Beta,2023-02-08 11:00:00,9211,7287,Standard,Beta,Beta,Beta,162,5149,5973,1197,7537,Gamma,2025-01-31 21:30:00,,,,,,,,,,,,,2022-10-24,,,,,,,,,,,,,2025-04-21,2553,,,,,SKU-4673,,,4111,9985,,,2025-02-08,,,,,,,,6900,,,1106,,2023-01-13,,,,,,,,,,,,,2026-05-30,,,,SKU-9739,SKU-1284,,,,9796,,,,Resolved the outstanding question about scope.
,,Taylor Garcia,Quinn Blake,,,SKU-7229,LOT-1748,,,LOT-6194,TAG-4183,,TAG-7387,,priya.dorsey@demomail.test,,,,,SKU-6825,,,SKU-9761,,,Active Customer,Resolved the outstanding question about scope.,Pioneer Health LLP,Delta Financial,Active,Standard,Philippines,,,,Followed up on the open items from last week.,Renewal,,,,N,Energy,,Delta,,,,,,,,,LinkedIn,LOT-1746,REF-8786,Omar Vance,SKU-4012,TAG-6840,,6436,,,Delta,,,REF-6195,,Delta,,,,,Chen Kim,,Illinois,N,,SKU-2147,,,,REF-1938,,LOT-3427,2274,100001,Company,100425,aisha.larsson@sampleco.test,Elena Brooks,2024-10-02 16:58:00,avery.mercer@acme-fake.test,Taylor Mercer,2024-10-15 12:22:00,avery.whitfield@acme-fake.test,Alex Sato,2025-09-14 03:01:00,liam.larsson@demomail.test,,2023-05-27 14:59:00,N,,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,100001,,100001,2024-03-30 23:42:00,4427,9601,Alpha,Gamma,Beta,REF-4280,8478,6233,8568,5087,9940,Gamma,2023-04-24 02:54:00,8990,747,Alpha,Gamma,Alpha,Other,5108,6504,5932,5627,323,Delta,2023-04-20 20:30:00,,,,,Standard,,,,,862,4861,,2023-08-01,,,,,,,,7401,,,,,2025-07-11,,,Other,,,,,,,,,,2025-11-20,,,Other,TAG-6405,,,,,,,,,2025-11-21,,1769,,,,,,,5666,,,,2024-05-30,,,,,,,9338,,,,,,Followed up on the open items from last week.
LOT-2191,LOT-8464,,Casey Vance,,,,TAG-1522,,REF-7617,,,,,,jamie.calder@examplecorp.test,,Drew Blake,,TAG-6061,,Avery Reyes,"94,247",,,,Active Customer,Noted a concern to revisit at the next sync.,Cardinal Financial Co,Cobalt Dynamics Inc,Active,Standard,Canada,,,,Followed up on the open items from last week.,Standard,,,,Y,Energy,,,,,,Delta,,,,,Inbound Call,,,Aisha Larsson,SKU-7990,LOT-1076,,8765,,,Standard,,LOT-9116,,,,,,Other,,Rowan Brooks,,Georgia,Y,,LOT-8987,,,,,,LOT-4095,6579,100001,Company,100428,sofia.costa@examplecorp.test,Alex Mercer,2026-06-25 18:58:00,chen.brooks@sampleco.test,Taylor Rossi,2022-11-06 21:45:00,casey.larsson@acme-fake.test,Taylor Patel,2026-01-18 06:51:00,taylor.brooks@acme-fake.test,,2025-05-20 08:14:00,N,100001,100001,100001,100001,100001,,100001,100001,,100001,100001,,100001,100001,100001,100001,100001,2025-03-30 22:31:00,950,6662,Alpha,Standard,Other,LOT-7354,7189,5572,6979,6452,5385,Alpha,2023-10-08 22:58:00,7048,1243,Standard,Gamma,Gamma,Beta,3715,2982,5421,2139,7547,Other,2024-05-10 02:37:00,,5499,Delta,,,,,,,,,,2024-09-05,,,,,,,,,,,,,2025-08-12,,,,,,,,,2033,2288,5051,,2025-06-18,,,,,,,,,,,,,2024-11-01,5029,,Gamma,,,,,,,,,,2022-10-13,,5555,Beta,,,,,,7770,7881,,,Scheduled a check-in for the coming month.
,,Marco Sloan,Drew Whitfield,,,TAG-7195,TAG-3811,,SKU-6671,SKU-1153,,,,,avery.cohen@acme-fake.test,Rowan Silva,,,,LOT-9831,,,SKU-2108,"90,780",,Referral Partner,Noted a concern to revisit at the next sync.,Northwind Group Group,Meridian Financial Corp,Active,Other,Canada,,,,Resolved the outstanding question about scope.,Standard,,,,N,Real Estate,,,,,,,,,,,Webinar,SKU-7044,TAG-3406,Alex Nguyen,,SKU-7950,TAG-5622,8771,,,Gamma,,,LOT-6035,,,,,,,Noah Silva,,California,Y,REF-7056,SKU-2054,,,,,TAG-9050,LOT-8018,1300,100001,Company,100429,avery.ivanov@demomail.test,Yara Kim,2024-01-22 22:12:00,skyler.reyes@examplecorp.test,Mei Haddad,2023-10-19 23:54:00,noah.blake@demomail.test,Casey Sato,2026-07-23 07:09:00,fatima.reyes@examplecorp.test,,2023-09-21 17:39:00,Y,100001,100001,100001,100001,100001,100001,100001,100001,,,,100001,100001,100001,100001,,100001,2025-04-16 14:26:00,8318,3189,Alpha,Standard,Delta,SKU-3289,9251,5848,7338,113,8443,Delta,2025-11-10 18:04:00,1071,5043,Delta,Delta,Standard,Other,9401,6184,330,9812,5229,Other,2024-05-17 04:07:00,9322,,,,,,,,,,,,2025-06-16,,,,,Alpha,,,,,,,Gamma,2023-07-16,,,,REF-3078,SKU-3743,,,,8412,,,,2025-06-26,,,,,,,,,,,,,2024-05-13,,,,,,,,,9214,,6209,,2026-01-02,,,,,,,5474,,,,,,Reviewed performance and gathered feedback.
,,Rahul Whitfield,Rowan Garcia,,,,LOT-7324,TAG-8289,REF-5297,,,,,,reese.okafor@acme-fake.test,Liam Nguyen,,,,,,,,,,Active Customer,Discussed timeline and next steps with the account.,Northwind Textiles LLP,Falcon Foods Group,Active,Gamma,United States,,,,Aligned on billing and renewal terms.,Standard,,TAG-5749,,N,Construction,,,,,,,,,,,Website,REF-3268,LOT-4320,Sofia Calder,,REF-3123,,1070,,,Standard,,SKU-3171,TAG-2004,,Alpha,,,,,Elena Dorsey,,California,Y,,REF-8209,,,,,,LOT-4619,4449,100001,Company,100432,aisha.cohen@examplecorp.test,Omar Patel,2024-06-30 02:13:00,omar.mensah@examplecorp.test,Priya Garcia,2023-04-12 10:57:00,marco.larsson@acme-fake.test,Priya Mercer,2026-01-24 20:54:00,jordan.okafor@sampleco.test,Emerson Ivanov,2025-10-10 23:51:00,N,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,2023-09-18 00:54:00,241,1349,Delta,Other,Delta,LOT-1769,6310,4831,7862,8512,2898,Other,2025-07-05 15:19:00,8444,9356,Other,Delta,Standard,Delta,1578,4682,7916,459,135,Standard,2023-01-19 12:59:00,,,,,,,,,9670,,,,2025-06-24,,,Standard,,,SKU-9137,3886,,,1861,,Alpha,2024-12-04,,,,,,,,,,,,,2024-02-01,,,,,,,,,,,,Beta,2025-09-17,3956,,,,,REF-5367,,,,,,,2025-11-09,,,,,LOT-9687,,,,,,,,Noted a concern to revisit at the next sync.
,,Drew Patel,Noah Ashby,,,LOT-6282,TAG-9420,,LOT-3936,LOT-4823,,,,,mei.cohen@acme-fake.test,,Morgan Dorsey,,,LOT-7427,Drew Ashby,,REF-5053,,,Prospect,Shared the updated proposal for review.,Summit Manufacturing Co,Evergreen Capital Co,Active,Alpha,United Kingdom,,,SKU-7339,Reviewed performance and gathered feedback.,Standard,,LOT-4112,,Y,Real Estate,,,,,,,,,,"245,823",Referral,REF-1114,,Elena Sloan,SKU-3144,,TAG-5305,,,,Standard,,,LOT-1363,,Standard,Beta,,,,Reese Mercer,,Ohio,Y,,TAG-9722,,,,,,REF-9301,4386,100001,Company,100434,taylor.mercer@sampleco.test,Omar Calder,2025-09-05 08:45:00,yara.ashby@sampleco.test,Jordan Costa,2024-04-24 05:05:00,omar.ashby@demomail.test,Liam Garcia,2023-06-04 14:20:00,jamie.reyes@examplecorp.test,,2023-12-12 17:43:00,Y,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,100001,,100001,100001,100001,100001,2024-04-30 16:28:00,8047,5975,Gamma,Other,Other,TAG-2014,6796,1509,7272,7137,5506,Other,2025-03-05 13:32:00,6361,3964,Beta,Alpha,Delta,Beta,4444,5662,165,7138,5778,Standard,2023-04-23 22:22:00,9518,,,,,,,8417,,,7189,Beta,2023-12-28,,915,Gamma,,Beta,,,,,,260,Alpha,2026-04-20,,,,,,REF-5233,,,,,,,2023-07-06,,,Alpha,,,,8141,,,,3098,,2023-11-25,,,,,,REF-9049,,,5594,,,,2024-03-30,,,,,,,,,,,,Delta,Scheduled a check-in for the coming month.
SKU-6478,,Rahul Dorsey,Elena Mensah,,,TAG-8554,LOT-6189,TAG-1955,SKU-5491,,,,,Delta,drew.reyes@sampleco.test,,,,,,,,LOT-9988,,,Active Customer,Reviewed performance and gathered feedback.,Harbor Holdings Co,Granite Logistics Co,Active,Alpha,Philippines,,,,Noted a concern to revisit at the next sync.,SMB,,,,Y,Healthcare,,,,,,,,,,,LinkedIn,REF-7835,SKU-3036,Priya Larsson,SKU-7580,REF-5748,SKU-3581,,,,Beta,,SKU-7625,TAG-5071,,Gamma,,,,,Emerson Patel,,California,N,,TAG-1412,,,,,,REF-3945,424,100001,Company,100435,fatima.calder@demomail.test,Elena Sloan,2026-01-01 01:33:00,diego.brooks@acme-fake.test,Casey Kim,2023-11-21 07:09:00,jordan.larsson@examplecorp.test,Casey Whitfield,2023-06-28 16:45:00,marco.reyes@sampleco.test,,2026-03-22 04:14:00,Y,100001,100001,100001,100001,100001,,100001,100001,100001,,100001,100001,100001,100001,,,100001,2023-07-09 23:20:00,9757,8234,Gamma,Beta,Other,SKU-1029,3807,6511,6994,5499,1340,Standard,2023-06-28 07:20:00,914,731,Standard,Delta,Other,Delta,8622,1004,9749,5893,588,Alpha,2023-10-20 19:13:00,,6589,Delta,SKU-1856,,,,,,,,Delta,2025-05-01,,8697,,,,REF-9948,,,5999,,,,2024-12-27,,,,,,,,,,,,,2025-01-22,,,,,,TAG-5416,,,,4304,,,2023-12-08,,,,,,,,521,,,8748,,2024-11-27,,,,,,LOT-3711,5869,,,9312,,,Followed up on the open items from last week.
